注意,method_key,file,方式,n,mean_m,std_m
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",A_pdr,pdr_log_0805_1438.csv,PDRのみ,1,83.84,
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",A_pdr,pdr_log_0805_1441.csv,PDRのみ,1,18.46,
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",A_pdr,pdr_log_0805_1442.csv,PDRのみ,1,13.32,
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",B_fixed,pdr_log_0805_1438.csv,固定粒子数PF,6,69.18,0.26
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",B_fixed,pdr_log_0805_1441.csv,固定粒子数PF,6,17.49,1.39
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",B_fixed,pdr_log_0805_1442.csv,固定粒子数PF,6,21.40,8.97
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",C_adaptive,pdr_log_0805_1438.csv,移動様態適応PF,6,69.25,0.25
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",C_adaptive,pdr_log_0805_1441.csv,移動様態適応PF,6,17.53,0.36
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",C_adaptive,pdr_log_0805_1442.csv,移動様態適応PF,6,13.46,1.98
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_proposed,pdr_log_0805_1438.csv,提案方式,6,67.86,0.12
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_proposed,pdr_log_0805_1441.csv,提案方式,6,17.37,0.45
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_proposed,pdr_log_0805_1442.csv,提案方式,6,12.62,1.17
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh,pdr_log_0805_1438.csv,提案方式+複数経路仮説,6,65.42,0.97
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh,pdr_log_0805_1441.csv,提案方式+複数経路仮説,6,17.22,4.01
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh,pdr_log_0805_1442.csv,提案方式+複数経路仮説,6,17.19,3.20
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh_bl,pdr_log_0805_1438.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,66.17,0.22
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh_bl,pdr_log_0805_1441.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,14.09,0.41
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh_bl,pdr_log_0805_1442.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,11.23,0.69
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms,pdr_log_0805_1438.csv,提案方式+広い部屋の除外,6,67.86,0.12
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms,pdr_log_0805_1441.csv,提案方式+広い部屋の除外,6,17.37,0.45
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms,pdr_log_0805_1442.csv,提案方式+広い部屋の除外,6,12.64,0.99
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_centerline,pdr_log_0805_1438.csv,提案方式+中心線,6,67.86,0.12
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_centerline,pdr_log_0805_1441.csv,提案方式+中心線,6,17.37,0.45
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_centerline,pdr_log_0805_1442.csv,提案方式+中心線,6,12.62,1.17
