id,label,point_type,x_px,y_px,source,見分け方
L01,west_end_wall,end,32.0,230,図面確定,西の外壁(x=26)に背をつけて立つ。体の中心が約0.5m前=x32
L02,stair_hall_edge,corner,76.0,230,図面確定,階段ホールが終わり廊下の北壁が始まる点。通り芯k0
L03,ie3_ie4,wall,128.0,230,図面確定,南側 IE研究室(3)と(4)の境界壁
D01,door_rm101,door,,230,現地採寸,情報電子第1研究室の入口。基準壁x=231から西へ測る
L04,rm101_rm103,wall,231.0,230,図面確定,北=情報電子第1/第2研究室 南=IE(4)/(5) 両側同時
D02,door_rm103,door,260.0,230,暫定260(要実測),情報電子第2研究室の入口(1箇所のみ、部屋の西寄り)。基準壁x=231(第1/第2研究室の境界)から東へ測る
D03,door_ie5,door,350.0,230,暫定350(要実測),IE研究室(5)の入口(廊下の南側)。基準壁x=386(廊下がホールに出る所)から西へ測る
L05,hall_enter,corner,386.0,230,図面確定,北壁と南壁が同時に途切れてホール233に出る点。両側同時
L06,corridor2_enter,corner,412.0,131,図面確定,ホールから上側廊下へ入る。左(x386)と右(x438)の壁の切れ目の間を通る
L07,stair_west,wall,438.0,115,図面確定,南=階段室の西端 北=便所ブロックとサーバ室の境。通り芯k7
L08,server_dev,wall,489.0,115,図面確定,北=サーバ室/開発型電算機室 南=階段室/電子工学実験室 両側同時
D06,door_ee_lab,door,520.0,115,暫定520(要実測),電子工学実験室の入口(廊下の南側)。基準壁x=489(階段室との境界)から東へ測る
D04,door_dev,door,650.0,115,暫定650(要実測),開発型電算機室の入口(1箇所のみ)。基準壁x=696(学習支援室との境)から西へ測る
L09,dev_support,wall,696.0,115,図面確定,北=開発型電算機室/情報電子学習支援室 南=電子工学実験室/第2スタジオ型演習室 両側同時
L10,support_hw,wall,748.0,115,図面確定,北=情報電子学習支援室/ハードウェア製作室の境界壁
L11,hw_design,wall,852.0,115,図面確定,北=ハードウェア製作室/ソフトウェア演習室(設計室)の境界壁
L12,design_machine,wall,903.0,115,図面確定,北=設計室/加工室の境界壁
L13,east_end_wall,end,949.0,115,図面確定,東端の壁(x=955)の手前。体の中心が約0.5m手前=x949
